"SUBJECT" "DIET" "SEQUENCE" "y.Actinobacteria" "y.Bacteroidetes" "y.Firmicutes" "y.Fusobacteria" "y.Proteobacteria" "y.OTHER"
"mustard" "FIBRE" "ACB" 5.859564e-02 2.667474e-01 4.537530e-01 9.661017e-02 1.226796e-01 1.614205e-03
"nector" "BASE" "ACB" 1.832123e-02 1.401130e-01 5.217918e-01 2.886199e-01 3.058918e-02 5.649719e-04
"nector" "HYPO" "ACB" 3.179984e-02 2.640839e-01 3.196126e-01 3.070218e-01 7.707829e-02 4.035513e-04
"nector" "WASHOUT" "ACB" 5.431800e-02 4.568200e-02 7.523002e-01 6.238902e-02 8.474576e-02 5.649718e-04
"nector" "FIBRE" "ACB" 3.188055e-02 1.979822e-01 6.049233e-01 4.495561e-02 1.200969e-01 1.614206e-04
"rena" "BASE" "ACB" 3.712672e-03 2.464891e-01 4.340597e-01 2.339790e-01 8.167877e-02 8.071035e-05
"rena" "HYPO" "ACB" 5.472155e-02 2.470541e-01 3.709443e-01 1.774011e-01 1.433414e-01 6.537530e-03
"rena" "WASHOUT" "ACB" 2.066182e-02 1.075868e-01 4.346247e-01 3.707022e-01 6.569814e-02 7.263923e-04
"rena" "FIBRE" "ACB" 1.864407e-02 1.839387e-01 5.828087e-01 1.896691e-02 1.953188e-01 3.228410e-04
"admiral" "BASE" "BCA" 1.194512e-02 1.960452e-01 4.849879e-01 2.631154e-01 4.390538e-02 1.000000e-06
"admiral" "FIBRE" "BCA" 1.113801e-02 2.102502e-01 6.284907e-01 5.786925e-02 9.217111e-02 8.071025e-05
"admiral" "WASHOUT" "BCA" 4.931396e-02 2.001614e-02 7.035513e-01 1.000807e-01 1.184019e-01 8.635997e-03
"admiral" "HYPO" "BCA" 4.172720e-02 6.723164e-02 6.832930e-01 1.715093e-01 3.599677e-02 2.421307e-04
"allaby" "BASE" "BCA" 4.277643e-03 3.302663e-01 3.573850e-01 2.616626e-01 4.471348e-02 1.694915e-03
"allaby" "FIBRE" "BCA" 6.941082e-03 3.412429e-01 5.322034e-01 6.020985e-02 5.843422e-02 9.685230e-04
"allaby" "WASHOUT" "BCA" 2.171106e-02 3.271994e-01 1.795803e-01 2.615819e-01 2.025827e-01 7.344633e-03
"allaby" "HYPO" "BCA" 4.511703e-02 2.220339e-01 5.011299e-01 1.639225e-01 6.707022e-02 7.263922e-04
"anguish" "BASE" "BCA" 5.811138e-03 4.610169e-01 2.658596e-01 1.953995e-01 7.175141e-02 1.614205e-04
"anguish" "FIBRE" "BCA" 1.420500e-02 1.595642e-01 6.334948e-01 1.320420e-01 6.045198e-02 2.421308e-04
"anguish" "WASHOUT" "BCA" 7.643261e-02 5.044391e-02 6.702179e-01 1.232446e-01 7.893462e-02 7.263923e-04
"anguish" "HYPO" "BCA" 9.120258e-03 2.117837e-01 4.536723e-01 2.594027e-01 6.585956e-02 1.614206e-04
"banker" "BASE" "BCA" 5.891848e-03 4.041969e-01 3.251816e-01 2.130751e-01 5.141243e-02 2.421308e-04
"banker" "FIBRE" "BCA" 4.600484e-03 2.916061e-01 4.214689e-01 1.486683e-01 1.330912e-01 5.649718e-04
"banker" "WASHOUT" "BCA" 4.858757e-02 2.187248e-02 7.994350e-01 6.594027e-02 6.351897e-02 6.456821e-04
"banker" "HYPO" "BCA" 1.315577e-02 2.206618e-01 6.020985e-01 1.176755e-01 4.600484e-02 4.035513e-04
"baxter" "BASE" "BCA" 2.356739e-02 4.301856e-02 7.133979e-01 1.995964e-01 2.033898e-02 8.071023e-05
"baxter" "FIBRE" "BCA" 9.039548e-03 1.847458e-01 4.111380e-01 3.435835e-01 5.139314e-02 1.000000e-04
"baxter" "WASHOUT" "BCA" 3.615819e-02 1.188862e-01 6.386602e-01 1.781275e-01 2.784504e-02 3.228410e-04
"baxter" "HYPO" "BCA" 1.916061e-01 4.116223e-03 4.062954e-01 3.372881e-01 6.020985e-02 4.842615e-04
"bentley" "BASE" "BCA" 1.372074e-02 7.013721e-02 6.277643e-01 2.728814e-01 1.533495e-02 1.614205e-04
"bentley" "FIBRE" "BCA" 1.694915e-02 2.356739e-02 6.815174e-01 2.221146e-01 5.569007e-02 1.614205e-04
"bentley" "WASHOUT" "BCA" 9.685230e-03 2.041162e-01 4.384181e-01 2.861985e-01 6.142050e-02 1.614206e-04
"bentley" "HYPO" "BCA" 5.980630e-02 4.439064e-03 8.207425e-01 6.892655e-02 4.592413e-02 1.614205e-04
"bookmaker" "BASE" "BCA" 5.569007e-03 3.140436e-01 3.881356e-01 2.348668e-01 5.706215e-02 3.228411e-04
"bookmaker" "FIBRE" "BCA" 1.073446e-02 1.103309e-01 6.299435e-01 2.149314e-01 3.373688e-02 3.228410e-04
"bookmaker" "WASHOUT" "BCA" 1.807910e-02 4.923325e-03 3.803874e-01 5.299435e-01 6.634383e-02 3.228410e-04
"bookmaker" "HYPO" "BCA" 1.081517e-01 9.039548e-03 6.160613e-01 2.039548e-01 6.269257e-02 1.000000e-04
"bradman" "BASE" "BCA" 3.631961e-03 4.673931e-01 2.832123e-01 1.828087e-01 6.279257e-02 1.614205e-04
"bradman" "FIBRE" "BCA" 5.165456e-03 3.274415e-01 4.730428e-01 1.434221e-01 5.076675e-02 1.614206e-04
"bradman" "WASHOUT" "BCA" 1.541566e-02 7.901533e-02 4.205811e-01 4.443906e-01 4.035513e-02 2.421308e-04
"bradman" "HYPO" "BCA" 3.405973e-02 7.522195e-02 7.477805e-01 1.207425e-01 2.209532e-02 1.000000e-04
"brightly" "BASE" "BCA" 7.344633e-03 3.508475e-01 4.106538e-01 1.857950e-01 4.487490e-02 4.842615e-04
"brightly" "FIBRE" "BCA" 6.053269e-03 2.365617e-01 4.167877e-01 1.660210e-01 1.744149e-01 1.614206e-04
"brightly" "WASHOUT" "BCA" 3.962873e-02 2.407587e-01 4.018563e-01 2.213075e-01 9.612591e-02 3.228411e-04
"brightly" "HYPO" "BCA" 4.414851e-02 1.505246e-01 6.245359e-01 1.524617e-01 2.808717e-02 2.421308e-04
"carlton" "BASE" "BCA" 1.856336e-03 4.380952e-01 3.411622e-01 1.726392e-01 4.600484e-02 2.421308e-04
"carlton" "FIBRE" "BCA" 1.565779e-02 1.248588e-01 7.360775e-01 9.757869e-02 2.558515e-02 2.421308e-04
"carlton" "WASHOUT" "BCA" 2.187248e-02 2.937853e-02 4.689266e-01 4.181598e-01 6.142050e-02 2.421308e-04
"carlton" "HYPO" "BCA" 2.033898e-02 1.535109e-01 6.776433e-01 1.349475e-01 1.339790e-02 1.614205e-04
"gaffa" "BASE" "BCA" 7.909605e-03 4.088781e-01 3.808717e-01 1.448749e-01 5.730428e-02 1.614205e-04
"gaffa" "FIBRE" "BCA" 5.246166e-03 4.065375e-01 4.276029e-01 1.119451e-01 4.826473e-02 4.035513e-04
"gaffa" "WASHOUT" "BCA" 4.729621e-02 7.748184e-03 6.957224e-01 2.065375e-01 4.237288e-02 3.228411e-04
"gaffa" "HYPO" "BCA" 2.889427e-02 1.334140e-01 6.606134e-01 1.534302e-01 2.348668e-02 1.614205e-04
"gerlert" "BASE" "BCA" 1.686844e-02 2.916061e-01 4.526231e-01 1.889427e-01 4.681195e-02 3.147700e-03
"gerlert" "FIBRE" "BCA" 1.799839e-02 8.781275e-02 7.205811e-01 1.621469e-01 1.138015e-02 8.071025e-05
"gerlert" "WASHOUT" "BCA" 1.452785e-02 2.518160e-02 7.327684e-01 2.084746e-01 1.848265e-02 5.649717e-04
"gerlert" "HYPO" "BCA" 2.203390e-02 1.932203e-01 5.490718e-01 1.987893e-01 3.664245e-02 2.421308e-04
"halifax" "BASE" "BCA" 6.779661e-03 3.573850e-01 3.438257e-01 2.163842e-01 7.546408e-02 1.614207e-04
"halifax" "FIBRE" "BCA" 1.138015e-02 1.640032e-01 6.469734e-01 1.373688e-01 3.987086e-02 4.035513e-04
"halifax" "WASHOUT" "BCA" 3.970944e-02 1.143664e-01 6.624697e-01 9.338176e-02 8.910412e-02 9.685230e-04
"halifax" "HYPO" "BCA" 4.576271e-02 3.470541e-03 4.477805e-01 2.879742e-01 2.147700e-01 2.421309e-04
"hazard" "BASE" "BCA" 2.179177e-03 3.110573e-01 3.413236e-01 3.034705e-01 4.172720e-02 2.421308e-04
"hazard" "FIBRE" "BCA" 4.439064e-03 2.620662e-01 2.899919e-01 3.641646e-01 7.772397e-02 1.614205e-03
"hazard" "WASHOUT" "BCA" 3.712672e-03 5.544794e-02 5.978208e-01 2.983858e-01 4.430993e-02 3.228410e-04
"hazard" "HYPO" "BCA" 1.528652e-01 5.811138e-03 6.248588e-01 1.079096e-01 1.081517e-01 4.035513e-04
"hero" "BASE" "BCA" 4.358354e-03 4.101695e-01 2.949153e-01 2.374496e-01 5.238095e-02 7.263923e-04
"hero" "FIBRE" "BCA" 1.460856e-02 2.106538e-01 4.700565e-01 1.922518e-01 1.117837e-01 6.456821e-04
"hero" "WASHOUT" "BCA" 1.751412e-02 1.084746e-01 4.380952e-01 2.843422e-01 1.506860e-01 8.878127e-04
"hero" "HYPO" "BCA" 9.604520e-03 2.858757e-01 4.326877e-01 2.082324e-01 6.343826e-02 1.614205e-04
"hugh" "BASE" "BCA" 5.246166e-03 3.819209e-01 3.497175e-01 2.037934e-01 5.907990e-02 2.421308e-04
